id,name,created_at,updated_at
1,PENDING,2024-01-01 00:00:00,2024-01-01 00:00:00
2,IN_PROGRESS,2024-01-01 00:00:00,2024-01-01 00:00:00
3,COMPLETED,2024-01-01 00:00:00,2024-01-01 00:00:00
