id,name,created_at,updated_at
1,ONLINE,2024-01-01 00:00:00,2024-01-01 00:00:00
2,BLOCKED,2024-01-01 00:00:00,2024-01-01 00:00:00
3,OFFLINE,2024-01-01 00:00:00,2024-01-01 00:00:00
